user_input,reference_contexts,reference,persona_name,query_style,query_length,synthesizer_name
"Within the MedThreatRAG architecture, what does the term CMCI represent?","['How to make Medical AI Systems safer? Simulating Vulnerabilities, \ue000 and Threats in Multimodal Medical RAG Systems\nMethodology\nMedThreatRAG Architecture\nCross-Modal Conflict Injection (CMCI)\n\\displaystyle=T^{\\text{adv-CMCI}}_{t}+\\beta\\cdot\\nabla_{T}\\mathcal{L}_{\\text{CMCI}}.. , 3 = . , 4 = (11)']","Within the MedThreatRAG architecture, CMCI represents Cross-Modal Conflict Injection.",Dr. Aris Thorne,PERFECT_GRAMMAR,MEDIUM,single_hop_specific_query_synthesizer
GPT-4.1 performance comparison metrics in Rule-Making Expert Agent framework,"['Learning to Route: A Rule-Driven Agent Framework for Hybrid-Source Retrieval-Augmented Generation Conference: Proceedings of the ACM Web Conference 2026; April 13-17, 2026; Dubai, United Arab Emirates CCS: Information systems Data management systems CCS: Information systems CCS: Computing methodologies Artificial intelligence\n4. Methodology\n4.3. Rule-Making Expert Agent\n \\pm 0.0027. GPT-4.1, 7 = 0.208 ± \\pm 0.0054. GPT-4.1, 1 = Ours. GPT-4.1, 2 = 0.0779 ± \\pm 0.0037. GPT-4.1, 3 = 0.184 ± \\pm 0.0151. GPT-4.1, 4 = 0.0042 ± \\pm 0.0012. GPT-4.1, 5 = 0.046 ± \\pm 0.0038. GPT-4.1, 6 = 0.0954 ± \\pm 0.0054. GPT-4.1, 7 = 0.242 ± \\pm 0.0082. GPT-4.1, 1 = Ours-c. GPT-4.1, 2 = 0.0754 ± \\pm 0.0051. GPT-4.1, 3 = 0.178 ± \\pm 0.0294. GPT-4.1, 4 = 0.0040 ± \\pm 0.0007. GPT-4.1, 5 = 0.042 ± \\pm 0.0024. GPT-4.1, 6 = 0.0915 ± \\pm 0.0036. GPT-4.1, 7 = 0.246 ± \\pm 0.0071. Oracle, 1 = Oracle. Oracle, 2 = 0.1020. Oracle, 3 = 0.264. Oracle, 4 = 0.0046. Oracle, 5 = 0.062. Oracle, 6 = 0.1050. Oracle, 7 = 0.398\nTable 1. Performance Comparison across Models and Methods (F1 / Accuracy)']","According to Table 1, the performance comparison for GPT-4.1 across different methods includes the following values: GPT-4.1, 1 = Ours; GPT-4.1, 2 = 0.0779 ± ± 0.0037; GPT-4.1, 3 = 0.184 ± ± 0.0151; GPT-4.1, 4 = 0.0042 ± ± 0.0012; GPT-4.1, 5 = 0.046 ± ± 0.0038; GPT-4.1, 6 = 0.0954 ± ± 0.0054; and GPT-4.1, 7 = 0.242 ± ± 0.0082. Additionally, for Ours-c, the values are: GPT-4.1, 2 = 0.0754 ± ± 0.0051; GPT-4.1, 3 = 0.178 ± ± 0.0294; GPT-4.1, 4 = 0.0040 ± ± 0.0007; GPT-4.1, 5 = 0.042 ± ± 0.0024; GPT-4.1, 6 = 0.0915 ± ± 0.0036; and GPT-4.1, 7 = 0.246 ± ± 0.0071.",Dr. Aris Thorne,WEB_SEARCH_LIKE,MEDIUM,single_hop_specific_query_synthesizer
how GPT-4V do on Dyn-VQA and why it bad compared to human?,"['Benchmarking Multimodal Retrieval Augmented Generation with Dynamic VQA Dataset and Self-adaptive Planning Agent\nAppendix E Analysis Experiments on Dyn-VQA Dataset\nE.1 Model Performance on Other VQA Datasets\nTable\n[15](#A4.T15)\npresents the model performances on various VQA datasets, highlighting several observations:\n(1) The original GPT-4V achieves an average performance exceeding 74 on previous datasets, approaching human-level proficiency in the Table\n[3](#S3.T3)\n. Conversely, its performance poorly on our Dyn-VQA with a significantly lower F1-reacll of 30.25, substantially lagging behind human capabilities. This discrepancy primarily arises because MLLMs have internalized much of the knowledge pertinent to traditional VQA datasets, where many questions rely on common-sense knowledge. For instance, VQAv2 frequently poses questions about object properties or intentions behind actions, which are relatively specialized by GPT-4V.\n(2) The performance of the heuristic mRAG method is unstable on different types of questions (datasets). It impairs the effectiveness of GPT-4V on all previous datasets, especially on the InfoSeek where the decline is over 10 points. Through case analysis, we found that the heuristic mRAG struggles predominantly with questions of images depicting buildings, specific flora and fauna, which the image caption model fails to describe accurately. Consequently, the search engine yields ""shallow"" knowledge, i.e., content that is relevant to the question topic but is actually irrelevant to question, and instead misleads the original model. Moreover, given that InfoSeek is automatically generated from Wikipedia and characterized by homogenous question types, a substantial proportion of these problematic questions magnifies the disability of heuristic mRAG. On the contrary, the questions of VQAv2 and A-OKVQA typically inquire about common-sense knowledge, which is quite different from the real-world knowledge on the Internet, therefore the retrieved content instead has a minor (but still present) negative impact on the model.']","On the Dyn-VQA dataset, the original GPT-4V performs poorly with a significantly lower F1-recall of 30.25, which substantially lags behind human capabilities.",Dr. Elias Thorne,POOR_GRAMMAR,MEDIUM,single_hop_specific_query_synthesizer
how Entity Normalization do label embedding?,"['Structure Guided Retrieval-Augmented Generation for Factual Queries\nAppendix D Appendix: Entity Normalization Details\nLabel Embedding.\nFor each node q i ∗ ∈ V \u2061 ( q ∗ ) q_{i}^{*}\\in V(q^{*}) , the system computes its label embedding:\n, 1 = o\n\n0\n\n(\n\nq\n\ni\n\n∗\n\n)\n\n=\n\nLLM\n\n(\n\nℓ\n\n\u2061\n\n(\n\nq\n\ni\n\n∗\n\n)\n\n)\n\n∈\n\nℝ\n\nF\n\n.\n\no_{0}(q_{i}^{*})=\\text{LLM}(\\ell(q_{i}^{*}))\\in\\mathbb{R}^{F}.. , 2 = . , 3 = (18)\nThese embeddings serve as semantic keys for aligning query nodes with their canonical counterparts in G G .']","For each node q_{i}^{*} \in V(q^{*}), the system computes its label embedding as o_{0}(q_{i}^{*})=\text{LLM}(\ell(q_{i}^{*}))\in\mathbb{R}^{F}, which serves as a semantic key for aligning query nodes with their canonical counterparts in G.",Dr. Elias Thorne,POOR_GRAMMAR,SHORT,single_hop_specific_query_synthesizer
where this SIGIR conference happen in Italy?,"[""MRAMG-Bench: A Comprehensive Benchmark for Advancing Multimodal Retrieval-Augmented Multimodal Generation Conference: Proceedings of the 48th International ACM SIGIR Conference on Research and Development in Information Retrieval; July 13-18, 2025; Padua, Italy Proceedings of the 48th International ACM SIGIR Conference on Research and Development in Information Retrieval (SIGIR '25), July 13-18, 2025, Padua, Italy DOI: 10.1145/3726302.3730288 ISBN: 979-8-4007-1592-1/2025/07 CCS: Information systems Information retrieval\n6. Experiments\n6.1. Experimental Baselines and Settings\nExperiment Details\n\n MLLM-Based, 9 = 80.25. MLLM-Based, 10 = 94.30. MLLM-Based, 11 = 85.90. MLLM-Based, 12 = 83.61. MLLM-Based, 13 = 75.14. MLLM-Based, 14 = 38.59. MLLM-Based, 15 = 57.40. MLLM-Based, 16 = 90.05. MLLM-Based, 17 = 31.99. MLLM-Based, 18 = 81.37. MLLM-Based, 19 = 69.84. MLLM-Based, 20 = 61.58. MLLM-Based, 1 = Qwen2-VL-7B-Instruct. MLLM-Based, 2 = 26.48. MLLM-Based, 3 = 32.65. MLLM-Based, 4 = 87.51. MLLM-Based, 5 = 60.98. MLLM-Based, 6 = 30.24. MLLM-Based, 7 = 40.19. MLLM-Based, 8 = 1.63. MLLM-Based, 9 = 4.00. MLLM-Based, 10 = 84.62. MLLM-Based, 11 = 49.80. MLLM-Based, 12 = 4.46. MLLM-Based, 13 = 21.11. MLLM-Based, 14 = 9.66. MLLM-Based, 15 = 15.15. MLLM-Based, 16 = 84.84. MLLM-Based, 17 = 4.26. MLLM-Based, 18 = 55.92. MLLM-Based, 19 = 16.22. MLLM-Based, 20 = 26.69. MLLM-Based, 1 = Qwen2-VL-72B-Instruct. MLLM-Based, 2 = 59.65. MLLM-Based, 3 = 60.59. MLLM-Based, 4 = 92.69. MLLM-Based, 5 = 80.50. MLLM-Based, 6 = 61.49. MLLM-Based, 7 = 64.16. MLLM-Based, 8""]","The 48th International ACM SIGIR Conference on Research and Development in Information Retrieval (SIGIR '25) took place in Padua, Italy.",Dr. Aris Thorne,POOR_GRAMMAR,MEDIUM,single_hop_specific_query_synthesizer
What is the significance of the Kneschke vs LAION case in the context of GenAI data usage and opt-outs?,"['Ward : Provable RAG Dataset Inference \ue000 via LLM Watermarks\nAppendix A Motivation: The Importance of RAG-DI\nOpt-outs and legal uncertainties\nWhile opt-outs are picking up traction, and some GenAI providers have pledged to honor them (\n[SpawningAI 2024](#bib.bib49)\n) , they are still far from being universally respected, and it is yet unclear how to practically enforce them (or audit compliance). More broadly, the legal landscape around GenAI data usage is complex, and both legal and research communities are closely following several prominent lawsuits. Notable examples include NYT vs OpenAI/Microsoft (\n[Grynbaum & Mac 2023](#bib.bib19)\n) or a group of artists vs Stability/MidJourney/DeviantArt/RunwayML (\n[Brittain 2024](#bib.bib4)\n) , which illustrate that the legal system is naturally still catching up to the rapid development of GenAI. The key challenges are in untangling the interplay between licenses, traditional copyright, opt-outs, the ideas such as fair use or market harm, and technical concepts such as LLM memorization. The most relevant for our discussion is the case Kneschke vs LAION (\n[Goldstein et al. 2024](#bib.bib18)\n) , where the ruling has extensively engaged with the meaning of opt-outs and the extent of their enforceability.']","The case of Kneschke vs LAION is described as the most relevant example regarding the legal landscape of GenAI data usage, as the ruling in this case has extensively engaged with the meaning of opt-outs and the extent to which they are enforceable.",Dr. Aris Thorne,WEB_SEARCH_LIKE,LONG,single_hop_specific_query_synthesizer
role of evaluator LLM in dual-track evaluation,"[""Search-P1: Path-Centric Reward Shaping for Stable and Efficient Agentic RAG Training\nAppendix D Prompt Templates\nD.3 Dual-Track Evaluation Prompt\nFigure\n[9](#A4.F9)\npresents the prompt used for dual-track path evaluation. An evaluator LLM assesses the model's trajectory along two dimensions: self-consistency (execution of its own plan) and reference-alignment (coverage of expert reference steps), along with outcome quality scoring.\nDual-Track Evaluation Prompt You are an expert RL researcher evaluating an AI agent's trajectory. Your task is to conduct a Dual-Track Evaluation : 1. Self-Consistency Track : How well did the agent execute its OWN plan? 2. Reference-Alignment Track : How well did the agent follow the Expert plan? 3. Outcome Evaluation : Assess accuracy and reasoning quality. Evaluation Inputs: • Question : {question} • Correct Answer : {golden_answers} • Reference Planner : {ref_planner} • Reference Path : {ref_reasoning_path} • Model Trajectory : {trajectory} Scoring Criteria: • Planner Score : 0.2 (Bad) / 0.6 (Average) / 1.0 (Good) / 1.2 (Excellent) • Outcome Accuracy : 0.0 (Wrong) / 0.5 (Partial) / 1.0 (Correct) • Reasoning Quality : 0.0 / 0.5 / 0.8 / 1.0 Output: JSON with planner_score , model_plan_steps , effective_steps_self , effective_steps_ref , outcome_accuracy_score , outcome_reasoning_score .\nFigure 9: Prompt template for dual-track evaluation. The evaluator LLM assesses both self-consistency and reference-alignment of model trajectories.""]","In dual-track evaluation, an evaluator LLM assesses a model's trajectory across two dimensions: reference-alignment (coverage of expert reference steps) and self-consistency (execution of its own plan), while also providing outcome quality scoring.",Dr. Aris Thorne,WEB_SEARCH_LIKE,SHORT,single_hop_specific_query_synthesizer
What are the ethicl risks of using fine-tuned LLMs as reward models?,"['RAGferee : Building Contextual Reward Models \ue000 for Retrieval-Augmented Generation\nEthics Statement\nAutomatic evaluation of responses remains a persistent challenge. Although using and fine-tuning strong LLMs as RMs for judging responses shows promise, these models share the same inherent risks and ethical considerations highlighted in prior research on pretrained and instruction-tuned models. Since RMs are designed to align with human preferences, they may inherit and amplify existing human biases present in training data, potentially leading to unfair or discriminatory outcomes related to race, gender, or other sensitive attributes. Furthermore, over-reliance on these models risks automating decisions that require human judgement.\nOur work promotes open and responsible research by committing to transparency in model development and by exclusively using publicly available datasets and models with permissive licences.']","Using and fine-tuning strong LLMs as reward models (RMs) for judging responses carries inherent risks and ethical considerations. Because RMs are designed to align with human preferences, they may inherit and amplify existing human biases found in training data, which could lead to discriminatory or unfair outcomes regarding sensitive attributes such as gender or race. Additionally, there is a risk of automating decisions that necessitate human judgement.",Dr. Elias Thorne,MISSPELLED,MEDIUM,single_hop_specific_query_synthesizer
"yo, tell me how Stable-RAG use that spectral clustering thingy on hidden states and why it better than normal clustering for the reasoning modes and DPO alignment stuff?","['Stable-RAG: Mitigating Retrieval-Permutation-Induced \ue000 Hallucinations in Retrieval-Augmented Generation\nAppendix B Mathematical Derivations\nWe employ spectral clustering on hidden states to identify dominant reasoning modes across permutations of retrieved documents. Compared with conventional clustering methods, spectral clustering captures the global structure of the hidden state space. This enables Stable-RAG to robustly group similar reasoning behaviors, reduce noise from spurious variations, and improve the consistency of preference signals used for DPO alignment.']","Stable-RAG employs spectral clustering on hidden states to identify dominant reasoning modes across permutations of retrieved documents. This method is superior to conventional clustering because it captures the global structure of the hidden state space, which allows Stable-RAG to robustly group similar reasoning behaviors, reduce noise from spurious variations, and improve the consistency of preference signals used for DPO alignment.",Dr. Elias Thorne,POOR_GRAMMAR,LONG,single_hop_specific_query_synthesizer
RAG-IGBench Open-domain Question Answering,['RAG-IGBench: Innovative Evaluation for RAG-based Interleaved Generation in Open-domain Question Answering\nAppendix F Prompt Templates\nWW91IGFyZSBhbiBhbnN3ZXIgYWdncmVnYXRpb24gc3lzdGVtIHRoYXQgZ2VuZXJhdGVzIGluZm9ybWF0aXZlIGFuc3dlcnMgYmFzZWQgb24gdGhlIHVzZXIncyBxdWVyeSBhbmQgcmVsZXZhbnQgZG9jdW1lbnRzLgoKVXNlciBxdWVyaWVzIGNhbiBiZSBjYXRlZ29yaXplZCBpbnRvIHRoZSBmb2xsb3dpbmcgdHlwZXM6CjEpIHdoYXQtaXM6IGRlZmluaXRpb24gdHlwZSBxdWVyaWVzLCBmb3Igd2hpY2ggdGhlIGFuc3dlciBzaG91bGQgYmUgZGlyZWN0IGFuZCBpbmNsdWRlIGVudGl0eSBpbWFnZXMgd2hlbiBwb3NzaWJsZSB0byBtYWtlIHRoZSByZXNwb25zZSBtb3JlIGlsbHVzdHJhdGl2ZTsKMikgaG93LXRvOiBwcm9jZWR1cmUgdHlwZSBxdWVyaWVzLCBmb3Igd2hpY2ggdGhlIGFuc3dlciBzaG91bGQgb3V0bGluZSBhIHByb2Nlc3Mgd2l0aCBzdGVwcyBwcmVmZXJhYmx5IGFjY29tcGFuaWVkIGJ5IGNvcnJlc3Bv'],RAG-IGBench is an innovative evaluation for RAG-based interleaved generation in Open-domain Question Answering.,Dr. Elias Thorne,WEB_SEARCH_LIKE,SHORT,single_hop_specific_query_synthesizer
